"set_num","name","year","theme_id","num_parts","img_url","description"
"001-1","Gears","1965","1","43","https://cdn.rebrickable.com/media/sets/001-1.jpg","
This set was released in America (USA/CAN) by Samsonite in 1965. It was re-released in 1969 as an educational set (322-4). It was never released in Europe.
"
"0011-2","Town Mini-Figures","1979","67","12","https://cdn.rebrickable.com/media/sets/0011-2.jpg",""
"0011-3","Castle 2 for 1 Bonus Offer","1987","199","0","https://cdn.rebrickable.com/media/sets/0011-3.jpg",""
"0012-1","Space Mini-Figures","1979","143","12","https://cdn.rebrickable.com/media/sets/0012-1.jpg",""
"0013-1","Space Mini-Figures","1979","143","12","https://cdn.rebrickable.com/media/sets/0013-1.jpg",""
"0014-1","Space Mini-Figures","1979","143","12","https://cdn.rebrickable.com/media/sets/0014-1.jpg",""
"0015-1","Space Mini-Figures","1979","143","18","https://cdn.rebrickable.com/media/sets/0015-1.jpg",""
"0016-1","Castle Mini Figures","1979","189","15","https://cdn.rebrickable.com/media/sets/0016-1.jpg",""
"002-1","4.5V Samsonite Gears Motor Set","1965","1","3","https://cdn.rebrickable.com/media/sets/002-1.jpg","
This set was released in America (USA/CAN) by Samsonite in 1965. It was never released in Europe.
"
"002253963-1","Legend of Chima: Corbeaux et Gorilles","2013","497","4","https://cdn.rebrickable.com/media/sets/002253963-1.jpg","
Title translates as: Ravens and GorillasFrench version: Corbeaux et GorillesPolish version: Kruki i Goryle
"
"003-1","Master Mechanic Set","1966","366","403","https://cdn.rebrickable.com/media/sets/003-1.jpg","
This set was released in America (USA/CAN) by Samsonite in 1966. It was never released in Europe.
"
"005-1","Basic Building Set in Cardboard","1965","366","35","https://cdn.rebrickable.com/media/sets/005-1.jpg",""
"005-2","Discovery Set","1967","366","0","https://cdn.rebrickable.com/media/sets/005-2.jpg",""
"00-6","Special Offer","1985","67","0","https://cdn.rebrickable.com/media/sets/00-6.jpg",""
"010-1","Basic Building Set in Cardboard","1965","366","57","https://cdn.rebrickable.com/media/sets/010-1.jpg",""
"010-3","Basic Building Set","1968","366","77","https://cdn.rebrickable.com/media/sets/010-3.jpg",""
"011-1","Basic Building Set","1968","366","145","https://cdn.rebrickable.com/media/sets/011-1.jpg",""
"021-1","Wheel Set","1966","366","183","https://cdn.rebrickable.com/media/sets/021-1.jpg","
This set was released in America (USA/CAN) by Samsonite in 1966. It was never released in Europe.
"
"022-1","Basic Building Set","1968","366","110","https://cdn.rebrickable.com/media/sets/022-1.jpg",""
"0241187567-1","Ninjago: Build Your Own Adventure","2015","497","74","https://cdn.rebrickable.com/media/sets/0241187567-1.jpg","
Written by Scarlett O'HaraHardcover: 80 pagesPublisher: Dorling Kindersley (August 2015)Language: EnglishISBN-10: 0241187567ISBN-13: 9780241187562Parts supplied in a polybag numbered 11909
"
"0241357594-1","Star Wars: Build Your Own Adventure: Galactic Missions","2019","497","70","https://cdn.rebrickable.com/media/sets/0241357594-1.jpg","
Published by DK Children (Dorling Kindersley) as a hardcover released on August 1, 2019 in the United Kingdom and on August 6, 2019 in the United States. The book contains 80 pages.ISBN-10: 0241357594 (UK) / 1465478957 (US)ISBN-13: 978-0241357590 (UK) / 978-1465478955 (US)The parts come in a polybag stamped “The LEGO Group” 6+11920Item: 6259833Barcode 5 702016395419The book also features 2 cardboard bookmarks which can be pulled out of the packaging, and an A2-sized colour poster featuring build ideas from the book.
"
"028-1","Nursery Furniture","1979","652","7","https://cdn.rebrickable.com/media/sets/028-1.jpg",""
"030-2","Building Set","1973","505","29","https://cdn.rebrickable.com/media/sets/030-2.jpg","
USA release of Set 513-1
"
"03093-1","The Race to Build It Board Game","1999","674","77","https://cdn.rebrickable.com/media/sets/03093-1.jpg","
Note: the levers with small base have yellow levers, not black as indicated in the picture.
"
"032-1","Living Room","1979","652","14","https://cdn.rebrickable.com/media/sets/032-1.jpg","
Set pictures show dupfig013 having Brown looking hair. This figure with that color hair can not be verified as to having actually existed. If you can provide any evidence otherwise please let us know.-----As similar set, 2630-1﻿, was released in different regions, using the same inventory but with a different Set Number.
"
"033-1","Farm Animals","1979","632","21","https://cdn.rebrickable.com/media/sets/033-1.jpg","
Re-released in 1982 as set 2641-1. No known differences exist between the two versions.
"
"033-2","Basic Building Set","1968","366","177","https://cdn.rebrickable.com/media/sets/033-2.jpg",""
"041-1","Pre-School Beginners Set","1964","440","24","https://cdn.rebrickable.com/media/sets/041-1.jpg","
This set was released in America (USA/CAN) by Samsonite in 1964. It was never released in Europe.
"
"041-2","Playhouse","1979","652","1","https://cdn.rebrickable.com/media/sets/041-2.jpg","
Set 2643-2﻿ is the US released version of this set
"
"042-1","Jumbo Brick Pull Toy","1966","440","9","https://cdn.rebrickable.com/media/sets/042-1.jpg","
This set was released in America (USA/CAN) by Samsonite in 1966. It was never released in Europe.
"
"044-1","Basic Building Set","1968","366","225","https://cdn.rebrickable.com/media/sets/044-1.jpg",""
"044-2","Jumbo Bricks","1969","440","30","https://cdn.rebrickable.com/media/sets/044-2.jpg","
This set was released in America (USA/CAN) by Samsonite in 1969. It was never released in Europe.
"
"045-1","Farm","1979","632","66","https://cdn.rebrickable.com/media/sets/045-1.jpg","
This is the European, Canadian and Australian version of set 2650-1
"
"045-2","Assorted Clear Bricks & Plates","1969","371","37","https://cdn.rebrickable.com/media/sets/045-2.jpg",""
"050-2","Lighting Device Pack","1969","371","4","https://cdn.rebrickable.com/media/sets/050-2.jpg","
This set was released in America (USA/CAN) by Samsonite in 1969. It was never released in Europe.
"
"051-1","Assorted Basic Bricks - Red","1966","371","50","https://cdn.rebrickable.com/media/sets/051-1.jpg","
This set was released in America (USA/CAN) by Samsonite in 1966. It was never released in Europe.
"
"052-1","Assorted Basic Bricks - White","1966","371","50","https://cdn.rebrickable.com/media/sets/052-1.jpg","
This set was released in America (USA/CAN) by Samsonite in 1966. It was never released in Europe.
"
"053-1","Assorted Basic Bricks - Blue","1966","371","50","https://cdn.rebrickable.com/media/sets/053-1.jpg","
This set was released in America (USA/CAN) by Samsonite in 1966. It was never released in Europe.
"
"054-1","Assorted Basic Bricks - Yellow","1966","371","50","https://cdn.rebrickable.com/media/sets/054-1.jpg","
This set was released in America (USA/CAN) by Samsonite in 1966. It was never released in Europe.
"
"055-1","Trees & Bushes","1966","371","25","https://cdn.rebrickable.com/media/sets/055-1.jpg","
This set was released in America (USA/CAN) by Samsonite in 1966. It was never released in Europe.
"
"055-2","Basic Building Set","1968","366","256","https://cdn.rebrickable.com/media/sets/055-2.jpg",""
"057-1","Large Wheels","1966","371","17","https://cdn.rebrickable.com/media/sets/057-1.jpg","
This set was released in America (USA/CAN) by Samsonite in 1966. It was never released in Europe.
"
"058-1","Small Wheels","1966","371","26","https://cdn.rebrickable.com/media/sets/058-1.jpg","
This set was released in America (USA/CAN) by Samsonite in 1966. It was never released in Europe.
"
"060-1","Assorted White Plates","1966","371","15","https://cdn.rebrickable.com/media/sets/060-1.jpg","
This set was released in America (USA/CAN) by Samsonite in 1966. It was never released in Europe.
"
"060-3","Jumbo Brick School Set","1968","440","60","https://cdn.rebrickable.com/media/sets/060-3.jpg","
This set was released in America (USA/CAN) by Samsonite in 1968. It was never released in Europe.
"
"061-1","Five Large Base Plates - Green","1966","371","5","https://cdn.rebrickable.com/media/sets/061-1.jpg","
This set was released in America (USA/CAN) by Samsonite in 1966. It was never released in Europe.
"
"062-1","Five Large Base Plates - White","1966","371","5","https://cdn.rebrickable.com/media/sets/062-1.jpg","
This set was released in America (USA/CAN) by Samsonite in 1966. It was never released in Europe.
"
"063-1","Five Large Base Plates - Blue","1966","371","5","https://cdn.rebrickable.com/media/sets/063-1.jpg","
This set was released in America (USA/CAN) by Samsonite in 1966. It was never released in Europe.
"
"063-2","Ducks","1978","505","18","https://cdn.rebrickable.com/media/sets/063-2.jpg",""
"065-1","Two Garage Door Kits","1969","371","6","https://cdn.rebrickable.com/media/sets/065-1.jpg","
This set was released in America (USA/CAN) by Samsonite in 1969. It was never released in Europe.
"
"066-1","Basic Building Set","1968","366","407","https://cdn.rebrickable.com/media/sets/066-1.jpg",""
"071-1","Block Box","1979","505","24","https://cdn.rebrickable.com/media/sets/071-1.jpg",""
"074-1","Pre-School Set","1976","505","20","https://cdn.rebrickable.com/media/sets/074-1.jpg","
Released in USA only.
"
"075-1","Pre-School Set","1975","505","17","https://cdn.rebrickable.com/media/sets/075-1.jpg","
Released in USA only.
"
